LB_NOM,Leaf,AccSpeciesID,CD_REF,FAMILLE,harvested
Crataegus germanica,simple,36364,92854,Rosaceae,1
Meum athamanticum,compound,36414,108454,Apiaceae,1
Myosotis arvensis,simple,37495,108996,Boraginaceae,1
Myosotis sylvatica,simple,37514,109104,Boraginaceae,1
Myrica gale,simple,37586,109130,Myricaceae,1
Myrrhis odorata,compound,37669,109161,Apiaceae,1
Myrtus communis,simple,37705,109186,Myrtaceae,1
Narcissus poeticus,simple,37745,109291,Amaryllidaceae,1
Narcissus pseudonarcissus,simple,37746,109297,Amaryllidaceae,1
Nasturtium officinale,compound,37768,109422,Brassicaceae,1
Neottia nidus-avis,simple,38028,109506,Orchidaceae,1
Nigella arvensis,compound,38225,109620,Ranunculaceae,1
Nigella damascena,compound,38227,109625,Ranunculaceae,1
Nuphar lutea,simple,38364,109732,Nymphaeaceae,1
Nuphar pumila,simple,38366,109735,Nymphaeaceae,1
Nymphaea alba,simple,38378,109750,Nymphaeaceae,1
Oenanthe aquatica,compound,38663,109861,Apiaceae,1
Oenothera biennis,simple,38688,109911,Onagraceae,1
Ononis natrix,compound,38988,110211,Fabaceae,1
Ononis spinosa,compound,38997,110236,Fabaceae,1
Onopordum acanthium,simple,39002,110244,Asteraceae,1
Orchis mascula,simple,39152,110914,Orchidaceae,1
Origanum vulgare,simple,39210,111289,Lamiaceae,1
Loncomelos pyrenaicus,simple,39281,106546,Asparagaceae,1
Ornithogalum umbellatum,simple,39286,111391,Asparagaceae,1
Orthilia secunda,simple,39339,111771,Ericaceae,1
Osmunda regalis,compound,39427,111815,Osmundaceae,1
Oxalis acetosella,compound,39564,111859,Oxalidaceae,1
Oxytropis campestris,compound,39653,111974,Fabaceae,1
Paeonia officinalis,compound,39795,112042,Paeoniaceae,1
Paliurus spina-christi,simple,39891,112061,Rhamnaceae,1
Papaver dubium,compound,40152,112303,Papaveraceae,1
Papaver rhoeas,compound,40195,112355,Papaveraceae,1
Parietaria judaica,simple,40305,112410,Urticaceae,1
Parietaria officinalis,simple,40307,112413,Urticaceae,1
Paris quadrifolia,simple,40337,112421,Melanthiaceae,1
Parnassia palustris,simple,40381,112426,Celastraceae,1
Parthenocissus tricuspidata,simple,40430,112467,Vitaceae,1
Pastinaca sativa,compound,40533,112550,Apiaceae,1
Pedicularis palustris,compound,40701,112590,Orobanchaceae,1
Pedicularis sylvatica,compound,40711,112601,Orobanchaceae,1
Persicaria hydropiper,simple,41190,112739,Polygonaceae,1
Persicaria maculosa,simple,41193,112745,Polygonaceae,1
Petasites hybridus,simple,41263,112783,Asteraceae,1
Phleum pratense,simple,41549,113221,Poaceae,1
Phragmites australis,simple,41658,113260,Poaceae,1
Phytolacca americana,simple,41897,113418,Phytolaccaceae,1
Picea abies,simple,41907,113432,Pinaceae,1
Pilosella officinarum,simple,42016,113525,Asteraceae,1
Pimpinella major,compound,42065,113579,Apiaceae,1
Pimpinella saxifraga,compound,42069,113596,Apiaceae,1
Pinus cembra,simple,42105,113651,Pinaceae,1
Pinus halepensis,simple,42129,113665,Pinaceae,1
Pinus mugo,simple,42157,113682,Pinaceae,1
Pinus pinaster,simple,42166,113689,Pinaceae,1
Pinus pinea,simple,42167,113690,Pinaceae,1
Pinus sylvestris,simple,42185,113703,Pinaceae,1
Pistacia lentiscus,compound,42352,113744,Anacardiaceae,1
Plantago afra,simple,42502,113804,Plantaginaceae,1
Plantago arenaria,compound,42510,113809,Plantaginaceae,1
Plantago coronopus,simple,42521,113842,Plantaginaceae,1
Plantago lanceolata,simple,42541,113893,Plantaginaceae,1
Plantago major,simple,42544,113904,Plantaginaceae,1
Plantago ovata,simple,42551,113924,Plantaginaceae,1
Plantago sempervirens,compound,42561,113957,Plantaginaceae,1
Polygala vulgaris,simple,43193,114595,Polygalaceae,1
Polygonatum multiflorum,simple,43204,114611,Asparagaceae,1
Polygonatum odoratum,simple,43205,114612,Asparagaceae,1
