"AccSpeciesName","AccSpeciesID","CD_REF","FAMILLE"
"Spergularia diandra",51252,124555,"Caryophyllaceae"
"Spergularia heldreichii",98367,124560,"Caryophyllaceae"
"Spergularia macrorrhiza",102299,124567,"Caryophyllaceae"
"Spergularia media",51259,124572,"Caryophyllaceae"
"Spergularia nicaeensis",98368,124574,"Caryophyllaceae"
"Spergularia rubra",51261,124578,"Caryophyllaceae"
"Spergularia rupicola",51262,124580,"Caryophyllaceae"
"Spergularia segetalis",51264,124583,"Caryophyllaceae"
"Spergularia tangerina",98369,124587,"Caryophyllaceae"
"Sphenopus divaricatus",98400,124599,"Poaceae"
"Spinacia oleracea",51355,124617,"Amaranthaceae"
"Spiraea alba",51363,124619,"Rosaceae"
"Spiraea chamaedryfolia",51375,124629,"Rosaceae"
"Spiraea douglasii",51382,124635,"Rosaceae"
"Spiraea hypericifolia",51386,159853,"Rosaceae"
"Spiraea japonica",51387,124646,"Rosaceae"
"Spiraea salicifolia",51395,124668,"Rosaceae"
"Spiranthes aestivalis",51405,124699,"Orchidaceae"
"Spiranthes spiralis",51410,124701,"Orchidaceae"
"Spirobassia hirsuta",455683,717568,"Amaranthaceae"
"Sporobolus aculeatus",455703,1015899,"Poaceae"
"Sporobolus alopecuroides",455705,1015901,"Poaceae"
"Sporobolus alterniflorus",455706,1015861,"Poaceae"
"Sporobolus anglicus",455707,1015862,"Poaceae"
"Sporobolus cryptandrus",51454,611571,"Poaceae"
"Sporobolus indicus",51465,124719,"Poaceae"
"Sporobolus maritimus",455720,1015863,"Poaceae"
"Sporobolus michauxianus",455722,1015867,"Poaceae"
"Sporobolus neglectus",51480,124725,"Poaceae"
"Sporobolus pungens",51491,124728,"Poaceae"
"Sporobolus schoenoides",455728,1015904,"Poaceae"
"Sporobolus vaginiflorus",51507,124730,"Poaceae"
"Stachys affinis",98516,124736,"Lamiaceae"
"Stachys alpina",51531,124740,"Lamiaceae"
"Stachys annua",51533,124741,"Lamiaceae"
"Stachys arvensis",51535,124744,"Lamiaceae"
"Stachys brachyclada",98522,124753,"Lamiaceae"
"Stachys byzantina",51537,124756,"Lamiaceae"
"Stachys corsica",98525,124761,"Lamiaceae"
"Stachys germanica",51543,124771,"Lamiaceae"
"Stachys glutinosa",98526,124773,"Lamiaceae"
"Stachys heraclea",98530,124775,"Lamiaceae"
"Stachys maritima",71700,124785,"Lamiaceae"
"Stachys marrubiifolia",98532,124786,"Lamiaceae"
"Stachys ocymastrum",98537,124796,"Lamiaceae"
"Stachys palustris",51554,124798,"Lamiaceae"
"Stachys recta",51557,124805,"Lamiaceae"
"Stachys salisii",387307,124807,"Lamiaceae"
"Stachys sylvatica",51561,124814,"Lamiaceae"
"Staehelina dubia",51584,124842,"Asteraceae"
"Staphylea pinnata",51597,124845,"Staphyleaceae"
"Stellaria alsine",51617,124967,"Caryophyllaceae"
"Stellaria aquatica",51618,124970,"Caryophyllaceae"
"Stellaria graminea",51627,125000,"Caryophyllaceae"
"Stellaria media",51634,125014,"Caryophyllaceae"
"Stellaria neglecta",51636,125019,"Caryophyllaceae"
"Stellaria nemorum",51637,125021,"Caryophyllaceae"
"Stellaria pallida",51639,125023,"Caryophyllaceae"
"Stellaria palustris",51640,125024,"Caryophyllaceae"
"Stenotaphrum secundatum",51706,125107,"Poaceae"
"Sternbergia colchiciflora",98690,125120,"Amaryllidaceae"
"Sternbergia lutea",98692,125123,"Amaryllidaceae"
"Sternbergia sicula",98693,611592,"Amaryllidaceae"
"Stipa atlantica",388876,969360,"Poaceae"
"Stipa capillata",51867,125135,"Poaceae"
"Stipa offneri",51901,125167,"Poaceae"
"Stipa pennata",51904,125173,"Poaceae"
"Stipellula capensis",389055,888838,"Poaceae"
"Stipellula parviflora",264323,888839,"Poaceae"
"Stoibrax dichotomum",51963,611359,"Apiaceae"
"Stratiotes aloides",51974,125219,"Hydrocharitaceae"
"Streptopus amplexifolius",52040,125226,"Liliaceae"
"Struthiopteris spicant",457023,125238,"Blechnaceae"
"Stuckenia filiformis",64905,717572,"Potamogetonaceae"
"Stuckenia pectinata",98812,717574,"Potamogetonaceae"
"Styphnolobium japonicum",52226,125244,"Fabaceae"
"Styrax officinalis",52253,125247,"Styracaceae"
"Suaeda maritima",52301,125259,"Amaranthaceae"
"Suaeda splendens",52327,125262,"Amaranthaceae"
"Suaeda vera",52333,1021698,"Amaranthaceae"
"Subularia aquatica",52336,125264,"Brassicaceae"
"Succisa pratensis",52337,125295,"Caprifoliaceae"
"Succisella inflexa",52338,125310,"Caprifoliaceae"
"Succowia balearica",52339,125312,"Brassicaceae"
"Swertia perennis",52462,125319,"Gentianaceae"
"Symphoricarpos albus",52513,125324,"Caprifoliaceae"
"Symphyotrichum lanceolatum",64915,125330,"Asteraceae"
