"NOM_VALIDE","CD_REF","Cosmetics","Crafts","Food and Beverages","Medical/Therapeutic","Ornamental Plants","Other"
"Herniaria cinerea DC., 1815",101405,0,0,0,1,0,0
"Herniaria glabra L., 1753",101411,0,0,0,3,0,0
"Herniaria hirsuta L., 1753",101412,0,0,0,3,0,0
"Hesperis matronalis L., 1753",101460,0,0,2,2,0,1
"Hieracium murorum L., 1753",102235,0,0,0,1,0,0
"Hieracium umbellatum L., 1753",102671,0,0,0,2,0,0
"Hippophae rhamnoides L., 1753",102863,0,2,3,3,1,2
"Humulus lupulus L., 1753",103031,0,1,3,3,0,2
"Hyacinthoides non-scripta (L.) Chouard ex Rothm., 1944",103057,0,0,0,1,0,1
"Hylotelephium telephium (L.) H.Ohba, 1977",103162,0,0,0,1,0,1
"Hyoscyamus albus L., 1753",103178,0,0,0,3,0,1
"Hyoscyamus niger L., 1753",103185,0,0,0,3,0,1
"Hypericum androsaemum L., 1753",103245,0,0,0,3,0,1
"Hypericum nummularium L., 1753",103308,0,0,1,0,0,0
"Hypericum perforatum L., 1753",103316,0,1,2,3,0,2
"Hypericum pulchrum L., 1753",103320,0,0,0,2,0,0
"Hypericum tetrapterum Fr., 1823",103329,0,0,0,1,0,0
"Hypochaeris radicata L., 1753",103375,0,0,1,1,0,0
"Hyssopus officinalis L., 1753",103406,0,1,3,2,0,2
"Ilex aquifolium L., 1753",103514,0,2,1,3,0,2
"Impatiens balsamina L., 1753",445494,0,1,2,2,0,1
"Impatiens noli-tangere L., 1753 [nom. et typ. cons.]",103553,0,0,0,3,0,0
"Imperatoria ostruthium L., 1753",103578,0,1,2,2,0,0
"Inula helenium L., 1753",103627,0,1,1,2,0,1
"Iris germanica L., 1753",103737,0,1,1,2,0,0
"Iris pseudacorus L., 1753",103772,0,1,2,3,0,2
"Isatis tinctoria L., 1753",103817,0,1,0,3,0,2
"Jacobaea incana (L.) Veldkamp, 2006",610642,0,0,0,1,0,0
"Jacobaea maritima (L.) Pelser & Meijden, 2005",610643,0,0,0,2,0,2
"Jacobaea vulgaris Gaertn., 1791",610646,0,0,0,2,0,1
"Juncus effusus L., 1753",104173,0,1,1,2,0,1
"Juniperus communis L., 1753",104397,0,1,2,2,0,1
"Juniperus oxycedrus L., 1753",104409,0,2,2,3,0,1
"Juniperus sabina L., 1753",104413,0,1,0,3,0,2
"Juniperus thurifera L., 1753",104419,0,1,0,2,0,0
"Kickxia elatine (L.) Dumort., 1827",104502,0,0,0,3,0,0
"Knautia arvensis (L.) Coult., 1828",104516,0,0,0,3,0,1
"Lactuca perennis L., 1753",104764,0,0,1,1,0,0
"Lactuca serriola L., 1756",104775,0,0,2,3,0,1
"Lactuca viminea (L.) J.Presl & C.Presl, 1819",104786,0,1,0,0,0,1
"Lactuca virosa L., 1753",104787,0,0,1,3,0,0
"Lamium album L., 1753",104854,0,0,2,3,0,1
"Lamium amplexicaule L., 1753",104855,0,0,0,3,0,1
"Lamium galeobdolon (L.) L., 1759",104876,0,0,0,3,0,1
"Lamium maculatum (L.) L., 1763",104889,0,0,1,2,0,1
"Lamium purpureum L., 1753",104903,0,0,0,3,0,0
"Lapsana communis L., 1753",105017,0,0,1,2,0,0
"Larix decidua Mill., 1768",105042,0,3,0,3,0,2
"Lathyrus latifolius L., 1753",105211,0,0,0,1,0,2
"Lathyrus sylvestris L., 1753",105266,0,0,0,1,0,2
"Laurus nobilis L., 1753",105295,0,2,3,3,0,2
"Lavandula angustifolia Mill., 1768",105297,0,1,1,3,0,2
"Lavandula latifolia Medik., 1784",105312,0,1,1,3,0,2
"Lavandula stoechas L., 1753",105321,0,0,1,3,0,2
"Lemna gibba L., 1753",105427,0,0,1,0,0,1
"Lemna minor L., 1753",105431,0,0,0,2,0,1
"Leontopodium nivale (Ten.) A.L.P.Huet ex Hand.-Mazz., 1927",611031,0,0,0,2,0,1
"Lepidium draba L., 1753",105621,0,0,1,1,0,1
"Leucanthemum vulgare Lam., 1779",105817,0,1,0,3,0,2
"Ligustrum vulgare L., 1753",105966,0,2,0,3,0,1
"Lilium bulbiferum L., 1753",105979,0,0,0,0,0,1
"Lilium martagon L., 1753",105989,0,0,0,2,0,1
"Linaria repens (L.) Mill., 1768",106213,0,0,0,1,0,0
"Linaria vulgaris Mill., 1768",106234,0,0,0,3,0,0
"Linum catharticum L., 1753",106288,0,0,0,3,0,1
"Lithospermum officinale L., 1753",106396,0,0,1,3,0,0
"Lonicera etrusca Santi, 1795",106565,0,0,0,2,0,0
"Lonicera nigra L., 1753",106574,0,0,0,1,0,0
"Lonicera periclymenum L., 1753",106581,0,1,0,3,0,1
"Lonicera xylosteum L., 1753",106595,0,0,0,2,0,0
"Lotus corniculatus L., 1753",106653,0,0,1,3,0,3
"Lycium barbarum L., 1753",106965,0,0,2,2,1,1
"Lycopus europaeus L., 1753",107038,0,0,0,2,0,0
"Lysimachia arvensis (L.) U.Manns & Anderb., 2009",610909,0,1,1,2,0,1
"Lysimachia nummularia L., 1753",107073,0,0,1,3,0,1
"Lysimachia vulgaris L., 1753",107090,0,1,0,3,0,0
"Lythrum salicaria L., 1753",107117,0,0,1,3,0,1
"Malus sylvestris (L.) Mill., 1768",107217,0,2,3,3,0,2
"Malva alcea L., 1753",107224,0,0,2,3,0,2
"Malva moschata L., 1753",107282,0,0,1,3,0,2
"Malva sylvestris L., 1753",107318,0,1,3,3,0,2
"Marrubium vulgare L., 1753",107397,0,0,2,3,0,2
"Matricaria chamomilla L., 1753",107440,0,1,2,2,0,1
"Matricaria discoidea DC., 1838",107446,0,0,0,1,0,1
"Melampyrum arvense L., 1753",107786,0,0,0,2,0,0
"Melilotus albus Medik., 1787",107886,0,1,1,3,0,3
"Melilotus altissimus Thuill., 1799",107887,0,0,2,2,0,2
"Melilotus officinalis (L.) Lam., 1779",107942,0,0,1,3,0,2
"Melissa officinalis L., 1753",107992,0,1,3,3,0,2
"Melittis melissophyllum L., 1753",108003,0,0,2,3,0,0
"Mentha aquatica L., 1753",108027,0,1,2,2,0,1
"Mentha arvensis L., 1753",108029,0,1,3,3,0,2
"Mentha longifolia (L.) Huds., 1762",108103,0,1,2,3,0,2
"Mentha pulegium L., 1753",108138,0,1,3,3,0,2
"Mentha suaveolens Ehrh., 1792",108168,0,0,2,2,0,2
"Menyanthes trifoliata L., 1753",108345,1,0,2,4,0,1
"Mercurialis annua L., 1753",108351,0,0,1,3,0,1
"Mercurialis perennis L., 1753",108361,0,0,1,3,0,1
