"CD_REF","NOM_VALIDE","buds","bark","leaves","flowers","fruit","seed","seedling","aboveground_part","underground_part","whole_plant","sap"
92631,"Cotinus coggygria Scop., 1771",1,1,1,1,1,1,1,1,1,1,1
92824,"Crataegus azarolus L., 1753",1,1,1,1,1,1,1,1,1,1,1
92854,"Crataegus germanica (L.) Kuntze, 1891",1,1,1,1,1,1,1,1,1,1,1
92864,"Crataegus laevigata (Poir.) DC., 1825",1,1,1,1,1,1,1,1,1,1,1
92876,"Crataegus monogyna Jacq., 1775",1,1,1,1,1,1,1,1,1,1,1
93045,"Crepis foetida L., 1753",1,1,1,1,1,1,1,1,1,1,1
93129,"Crepis sancta (L.) Bornm., 1913",1,1,1,1,1,1,1,1,1,1,1
93157,"Crepis vesicaria L., 1753",1,1,1,1,1,1,1,1,1,1,1
93190,"Crithmum maritimum L., 1753",1,1,1,1,1,1,1,1,1,1,1
93308,"Cruciata laevipes Opiz, 1852",1,1,1,1,1,1,1,1,1,1,1
93590,"Cupressus sempervirens L., 1753",1,1,1,1,1,1,1,1,1,1,1
93621,"Cuscuta epithymum (L.) L., 1774",1,1,1,1,1,1,1,1,1,1,1
93623,"Cuscuta europaea L., 1753",1,1,1,1,1,1,1,1,1,1,1
93673,"Cyanus montanus (L.) Hill, 1768",1,1,1,1,1,1,1,1,1,1,1
93680,"Cyanus segetum Hill, 1762",1,1,1,1,1,1,1,1,1,1,1
93708,"Cyclamen purpurascens Mill., 1768",1,1,1,1,1,1,1,1,1,1,1
93803,"Cynodon dactylon (L.) Pers., 1805",1,1,1,1,1,1,1,1,1,1,1
93840,"Cynoglossum officinale L., 1753",1,1,1,1,1,1,1,1,1,1,1
93967,"Cyperus longus L., 1753",1,1,1,1,1,1,1,1,1,1,1
94011,"Cyperus rotundus L., 1753",1,1,1,1,1,1,1,1,1,1,1
94164,"Cytisus scoparius (L.) Link, 1822",1,1,1,1,1,1,1,1,1,1,1
94207,"Dactylis glomerata L., 1753",1,1,1,1,1,1,1,1,1,1,1
94266,"Dactylorhiza maculata (L.) Soó, 1962",1,1,1,1,1,1,1,1,1,1,1
94427,"Daphne gnidium L., 1753",1,1,1,1,1,1,1,1,1,1,1
94432,"Daphne laureola L., 1753",1,1,1,1,1,1,1,1,1,1,1
94435,"Daphne mezereum L., 1753",1,1,1,1,1,1,1,1,1,1,1
94489,"Datura stramonium L., 1753",1,1,1,1,1,1,1,1,1,1,1
94503,"Daucus carota L., 1753",1,1,1,1,1,1,1,1,1,1,1
94572,"Delphinium consolida L., 1753",1,1,1,1,1,1,1,1,1,1,1
94590,"Delphinium montanum DC., 1815",1,1,1,1,1,1,1,1,1,1,1
94626,"Deschampsia cespitosa (L.) P.Beauv., 1812",1,1,1,1,1,1,1,1,1,1,1
94645,"Descurainia sophia (L.) Webb ex Prantl, 1891",1,1,1,1,1,1,1,1,1,1,1
94716,"Dianthus carthusianorum L., 1753",1,1,1,1,1,1,1,1,1,1,1
94923,"Dictamnus albus L., 1753",1,1,1,1,1,1,1,1,1,1,1
94945,"Digitalis lutea L., 1753",1,1,1,1,1,1,1,1,1,1,1
94959,"Digitalis purpurea L., 1753",1,1,1,1,1,1,1,1,1,1,1
95136,"Diplotaxis tenuifolia (L.) DC., 1821",1,1,1,1,1,1,1,1,1,1,1
95149,"Dipsacus fullonum L., 1753",1,1,1,1,1,1,1,1,1,1,1
95186,"Dittrichia graveolens (L.) Greuter, 1973",1,1,1,1,1,1,1,1,1,1,1
95187,"Dittrichia viscosa (L.) Greuter, 1973",1,1,1,1,1,1,1,1,1,1,1
95239,"Doronicum pardalianches L., 1753",1,1,1,1,1,1,1,1,1,1,1
95425,"Dracunculus vulgaris Schott, 1832",1,1,1,1,1,1,1,1,1,1,1
95436,"Drosera anglica Huds., 1778",1,1,1,1,1,1,1,1,1,1,1
95438,"Drosera intermedia Hayne, 1798",1,1,1,1,1,1,1,1,1,1,1
95442,"Drosera rotundifolia L., 1753",1,1,1,1,1,1,1,1,1,1,1
95461,"Dryas octopetala L., 1753",1,1,1,1,1,1,1,1,1,1,1
95567,"Dryopteris filix-mas (L.) Schott, 1834",1,1,1,1,1,1,1,1,1,1,1
95662,"Ecballium elaterium (L.) A.Rich., 1824",1,1,1,1,1,1,1,1,1,1,1
95793,"Echium vulgare L., 1753",1,1,1,1,1,1,1,1,1,1,1
95806,"Eclipta prostrata (L.) L., 1771",1,1,1,1,1,1,1,1,1,1,1
96046,"Elytrigia repens (L.) Desv. ex Nevski, 1934",1,1,1,1,1,1,1,1,1,1,1
96101,"Ephedra distachya L., 1753",1,1,1,1,1,1,1,1,1,1,1
96180,"Epilobium hirsutum L., 1753",1,1,1,1,1,1,1,1,1,1,1
96208,"Epilobium montanum L., 1753",1,1,1,1,1,1,1,1,1,1,1
96226,"Epilobium palustre L., 1753",1,1,1,1,1,1,1,1,1,1,1
96229,"Epilobium parviflorum Schreb., 1771",1,1,1,1,1,1,1,1,1,1,1
96251,"Epilobium roseum Schreb., 1771",1,1,1,1,1,1,1,1,1,1,1
