CD_REF,NOM_VALIDE,binomial_acc_name,AnimalFood,EnvironmentalUses,Fuels,GeneSources,HumanFood,InvertebrateFood,Materials,Medicines,Poisons,SocialUses
98717,"Filipendula ulmaria (L.) Maxim., 1879",Filipendula ulmaria,0,1,0,0,1,0,1,1,0,0
98718,"Filipendula vulgaris Moench, 1794",Filipendula vulgaris,0,1,0,0,0,0,0,1,0,0
98756,"Foeniculum vulgare Mill., 1768",Foeniculum vulgare,1,1,0,1,1,0,1,1,0,0
98865,"Fragaria vesca L., 1753",Fragaria vesca,0,1,0,1,1,0,1,1,0,0
98887,"Frangula alnus Mill., 1768",Frangula alnus,0,1,1,0,0,0,1,1,1,0
98910,"Fraxinus angustifolia Vahl, 1804 [nom. cons.]",Fraxinus angustifolia,0,1,0,0,0,0,1,1,0,0
98921,"Fraxinus excelsior L., 1753",Fraxinus excelsior,0,1,0,0,0,0,1,1,1,0
98933,"Fraxinus ornus L., 1753",Fraxinus ornus,0,1,0,0,0,0,1,1,0,0
98977,"Fritillaria meleagris L., 1753",Fritillaria meleagris,0,1,0,0,0,0,0,0,1,0
99108,"Fumaria officinalis L., 1753",Fumaria officinalis,0,0,0,0,0,0,0,1,0,0
99233,"Galanthus nivalis L., 1753",Galanthus nivalis,0,1,0,0,0,0,0,1,1,0
610594,"Galatella sedifolia (L.) Greuter, 2003",Galatella sedifolia,0,0,0,0,0,0,0,1,0,0
99260,"Galega officinalis L., 1753",Galega officinalis,1,1,0,0,0,1,0,1,1,0
99305,"Galeopsis ladanum L., 1753",Galeopsis ladanum,0,0,0,0,0,0,0,1,1,0
99329,"Galeopsis segetum Neck., 1770",Galeopsis segetum,0,0,0,0,0,0,0,1,0,0
99334,"Galeopsis tetrahit L., 1753",Galeopsis tetrahit,0,0,0,0,0,0,0,1,0,0
