ORIGIN_USE,DETAIL_ORIGIN_USE,ORIGIN_TYPOLOGY,SELECTED_TYPOLOGY_FR,DETAIL_SELECTED_TYPOLOGY_FR,SELECTED_TYPOLOGY_ENG,DETAIL_SELECTED_TYPOLOGY_ENG
Pectin,Edible uses - A substance that is used to thicken jams etc and as a culture medium in laboratories. ( 23 ),PFAF,Alimentaire et boissons ,"confitures, confiserie, arômes, colorants, condiments, liqueurs, infusions...",Food and Beverages,"jams, confectionery, flavors, colorants, condiments, liqueurs, infusions..."
Rutin ,Edible uses - Often used as a food supplement. ( 18 ),PFAF,Alimentaire et boissons ,"confitures, confiserie, arômes, colorants, condiments, liqueurs, infusions...",Food and Beverages,"jams, confectionery, flavors, colorants, condiments, liqueurs, infusions..."
Salt ,Edible uses - Plants that provide a substitute for salt. ( 30 ),PFAF,Alimentaire et boissons ,"confitures, confiserie, arômes, colorants, condiments, liqueurs, infusions...",Food and Beverages,"jams, confectionery, flavors, colorants, condiments, liqueurs, infusions..."
Stabilizer,Edible uses - This is often a gum and could perhaps be included there. ( 3 ),PFAF,Alimentaire et boissons ,"confitures, confiserie, arômes, colorants, condiments, liqueurs, infusions...",Food and Beverages,"jams, confectionery, flavors, colorants, condiments, liqueurs, infusions..."
Sweetener,Edible uses - Includes sugar substitutes. ( 111 ),PFAF,Alimentaire et boissons ,"confitures, confiserie, arômes, colorants, condiments, liqueurs, infusions...",Food and Beverages,"jams, confectionery, flavors, colorants, condiments, liqueurs, infusions..."
Tea,"Edible uses - The various herb teas that can be used in place of tea, plus the genuine article. ( 676 )",PFAF,Alimentaire et boissons ,"confitures, confiserie, arômes, colorants, condiments, liqueurs, infusions...",Food and Beverages,"jams, confectionery, flavors, colorants, condiments, liqueurs, infusions..."
Alterative,"Alternative and Complementary Medicine - Causes a gradual beneficial change in the body, usually through improved nutrition and elimination, without having any marked specific action. ( 143 )",PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Aromatherapy,Alternative and Complementary Medicine - Plants whose essential oils are used in Aromatherapy. ( 40 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Bach,Alternative and Complementary Medicine - Plants used in the Bach flower remedies. ( 38 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Homeopathy,Alternative and Complementary Medicine - A plant used in homeopathic treatments. ( 134 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Anthelmintic,"Bacteria, Viruses, Fungi and Parasites - Expels parasites from the gut. ( 261 )",PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Antibacterial,"Bacteria, Viruses, Fungi and Parasites - Kills bacteria. ( 331 )",PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Antibiotic,"Bacteria, Viruses, Fungi and Parasites - An agent that inhibits or destroys a living organism. It usually refers to bacteria or other micro-organisms and is probably synonymous with Antibacterial ( 34 )",PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Antifungal,"Bacteria, Viruses, Fungi and Parasites - An agent that inhibits or destroys fungi. Used in the treatment of various fungal problems such as candida. ( 127 )",PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Antiviral,"Bacteria, Viruses, Fungi and Parasites - Treats virus diseases ( 41 )",PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Parasiticide,"Bacteria, Viruses, Fungi and Parasites - Treats external parasites such as ringworm This should perhaps be joined with Parasiticide in 'Other Uses'. ( 195 )",PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Vermifuge,"Bacteria, Viruses, Fungi and Parasites - Expels and kills internal parasites. ( 211 )",PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Warts,"Bacteria, Viruses, Fungi and Parasites - Used in the treatment of warts, corns etc. ( 53 )",PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Antidote,Bites and Stings - Counters poisoning. ( 164 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Stings,Bites and Stings - Used in the treatment of stings and insect bites. ( 87 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Antiarthritic,Bones - Treats arthritis. ( 44 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Antiinflammatory,"Bones - Reduces inflammation of joints, injuries etc. ( 304 )",PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Antirheumatic,Bones - Treats rheumatism. ( 459 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Antihaemorrhoidal,Bowels and Bladder - Treats haemorrhoids (piles). This would probably be best added to another heading. ( 65 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Aperient,Bowels and Bladder - A mild laxative. ( 79 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Carminative,Bowels and Bladder - Reduces flatulence and expels gas from the intestines. ( 363 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Cathartic,Bowels and Bladder - A strong laxative but less violent than a purgative. ( 96 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Hydrogogue,Bowels and Bladder - A purgative that causes an abundant watery discharge. ( 8 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Laxative,Bowels and Bladder - Stimulates bowel movements in a fairly gentle manner. ( 407 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Purgative,"Bowels and Bladder - A drastic laxative causing a cleansing or watery evacuation of the bowels, usually with a griping pain. ( 239 )",PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Urinary,"Bowels and Bladder - Treats urinary problems, including urinary tract infection (UTI). ( 228 )",PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Antitumor,"Cancer - Preventing, or effective against, tumors, it is used in the treatment of cancer. Probably synonymous with Cytotoxic. ( 98 )",PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Cancer,Cancer - Used in the treatment of cancer. ( 366 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Cytostatic,Cancer - Slows or controls the growth of tumours. ( 19 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Cytotoxic,"Cancer - Destroys body cells. Used in the treatment of diseases such as cancer, where it is targeted against the cancer cells. ( 16 )",PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Resolvent,Cancer - Breaks down tumors. This might be placed under antitumor. ( 48 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Antiasthmatic,Chest and Lungs - Treats asthma. ( 153 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Antitussive,Chest and Lungs - Prevents or relieves coughing. ( 230 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
