LB_NOM,CD_REF,C,S,R,CSR,strategy_class
Elymus caninus,95992,18.2669884513053,50.8121768293858,30.9208347193089,18 : 51 : 31 %,S/CSR
Empetrum nigrum,96069,0,100,0,0 : 100 : 0 %,S
Ephedra major,96106,6.53970687940358,93.4602931205964,0,7 : 93 : 0 %,S
Epilobium alpestre,96127,18.8992452578721,24.5314051707321,56.5693495713958,19 : 25 : 57 %,R/CSR
Epilobium ciliatum,96149,30.0544619934334,0,69.9455380065666,30 : 0 : 70 %,R/CR
Epilobium roseum,96251,21.2605792882928,0,78.7394207117072,21 : 0 : 79 %,R/CR
Epipactis palustris,96465,44.5258614634083,13.6061315564626,41.8680069801291,45 : 14 : 42 %,CR/CSR
Equisetum sylvaticum,96545,9.92595800985948,46.6767352760002,43.3973067141403,10 : 47 : 43 %,SR
Eragrostis minor,96613,11.4703848405438,50.4464439178247,38.0831712416315,11 : 50 : 38 %,SR/CSR
Erica multiflora,96683,6.49350081637683,93.5064991836232,0,6 : 94 : 0 %,S
Erigeron acris,611688,24.1413847097057,25.1643087220379,50.6943065682564,24 : 25 : 51 %,R/CSR
Erigeron alpinus,96736,12.38264527446,45.8766093552397,41.7407453703003,12 : 46 : 42 %,SR/CSR
Erigeron annuus,96739,21.0217130710179,33.1499577647289,45.8283291642532,21 : 33 : 46 %,SR/CSR
Erigeron canadensis,96749,20.3487921671887,61.8897995607474,17.7614082720639,20 : 62 : 18 %,S/CSR
Erigeron karvinskianus,96775,15.0397455553284,13.2229372403033,71.7373172043683,15 : 13 : 72 %,R/CR
Eritrichium nanum,96872,0,100,0,0 : 100 : 0 %,S
Erodium ciconium,96894,37.1887225124799,20.3545767045435,42.4567007829766,37 : 20 : 42 %,CR/CSR
Erodium cicutarium,96895,21.1456064663219,20.3617288740615,58.4926646596166,21 : 20 : 58 %,R/CSR
Erodium malacoides,96919,21.5854942984283,24.7774349933425,53.6370707082292,22 : 25 : 54 %,R/CSR
Eryngium campestre,97141,80.0967849397897,19.9032150602103,0,80 : 20 : 0 %,C/CS
Eryngium maritimum,97145,29.7571774093118,70.2428225906882,0,30 : 70 : 0 %,S/CS
Erysimum cheiranthoides,97183,28.3158866925062,30.7001129659051,40.9840003415887,28 : 31 : 41 %,CSR
Erythronium dens-canis,97325,52.4485614582969,0,47.5514385417031,52 : 0 : 48 %,CR
Eucalyptus delegatensis,611735,25.327981462262,74.672018537738,0,25 : 75 : 0 %,S/CS
Euonymus europaeus,609982,27.564772925766,54.0985868342845,18.3366402399495,28 : 54 : 18 %,S/CSR
Euphorbia amygdaloides,97452,14.9640978236478,31.8660502109659,53.1698519653864,15 : 32 : 53 %,R/CSR
Euphorbia characias,97478,32.996939602577,60.8013170372587,6.20174336016435,33 : 61 : 6 %,S/CS
Euphorbia dendroides,97492,16.4796920813271,50.2987447537154,33.2215631649575,16 : 50 : 33 %,SR/CSR
Euphorbia exigua,97511,0,37.4627639054329,62.5372360945671,0 : 37 : 63 %,R/SR
Euphorbia humifusa,97543,4.43826083463483,70.177220863351,25.3845183020141,4 : 70 : 25 %,S/SR
Euphorbia palustris,97601,17.368774250688,54.1076541523546,28.5235715969574,17 : 54 : 29 %,S/CSR
Euphrasia minima,97772,0,95.381391472883,4.61860852711701,0 : 95 : 5 %,S
Euphrasia nemorosa,97776,1.5580581642195,46.5175833884496,51.9243584473309,2 : 47 : 52 %,SR
Euphrasia officinalis,97781,3.06403946988033,54.8550457974372,42.0809147326825,3 : 55 : 42 %,SR
