"CD_REF","LB_NOM","FAMILLE","nombre_protections","nombre_reglementations","LRM","LRN","Provence-Alpes-Côte-d'Azur","Limousin","Centre","Poitou-Charentes","Franche-Comté","Aquitaine","Corse","Haute-Normandie","Basse-Normandie","Pays-de-la-Loire","Nord-Pas-de-Calais","Champagne-Ardenne","Picardie","Ile-de-France","Midi-Pyrénées","Auvergne","Bretagne","Bourgogne","Lorraine","Alsace","Rhône-Alpes","Hauts-de-France","harvested"
127314,"Trifolium fragiferum","Fabaceae",0,0,NA,"LC",NA,"NT","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","NT","LC",NA,"not harvested"
127326,"Trifolium glomeratum","Fabaceae",1,0,NA,"LC",NA,"VU","VU","LC",NA,"LC","LC","CR","NT","LC",NA,NA,"RE","CR","LC","LC","LC",NA,NA,NA,"LC",NA,"not harvested"
127333,"Trifolium hirtum","Fabaceae",1,0,NA,"LC","VU",NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA,NA,"NT",NA,NA,NA,NA,NA,"LC",NA,"not harvested"
127337,"Trifolium hybridum","Fabaceae",0,0,NA,"LC",NA,"LC","LC","DD","LC","LC",NA,NA,NA,NA,NA,"LC",NA,"DD","LC","LC",NA,"LC","LC",NA,"LC",NA,"not harvested"
127340,"Trifolium incarnatum","Fabaceae",0,0,"LC","LC",NA,"LC","DD","DD",NA,"LC","LC",NA,NA,"NT",NA,NA,NA,NA,"LC","LC","VU","LC",NA,NA,"LC",NA,"not harvested"
127349,"Trifolium isthmocarpum","Fabaceae",0,0,NA,"DD",NA,NA,NA,NA,NA,NA,"DD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not harvested"
127361,"Trifolium lappaceum","Fabaceae",2,0,NA,"LC",NA,NA,NA,"EN",NA,"VU","LC",NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,NA,NA,NA,"NT",NA,"not harvested"
127362,"Trifolium leucanthum","Fabaceae",2,0,NA,"LC",NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,"NE",NA,"not harvested"
127364,"Trifolium ligusticum","Fabaceae",1,0,NA,"LC",NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not harvested"
127382,"Trifolium medium","Fabaceae",1,0,NA,"LC",NA,"LC","LC","LC","LC","LC",NA,"VU","LC","LC","LC","LC","NT","NT","LC","LC","EN","LC","LC","LC","LC",NA,"not harvested"
