"","CD_REF","LB_NOM","FAMILLE","FR"
"3498",107115,"Lythrum portula","Lythraceae","P"
"3499",107117,"Lythrum salicaria","Lythraceae","P"
"3500",107122,"Lythrum thesioides","Lythraceae","P"
"3501",107123,"Lythrum thymifolia","Lythraceae","P"
"3502",107125,"Lythrum tribracteatum","Lythraceae","P"
"3503",107126,"Lythrum virgatum","Lythraceae","Y"
"3504",107130,"Maclura pomifera","Moraceae","I"
"3505",107131,"Macrochloa tenacissima","Poaceae","I"
"3506",109831,"Odontites glutinosus","Orobanchaceae","P"
"3507",107141,"Magnolia grandiflora","Magnoliaceae","M"
"3508",107152,"Magydaris pastinacea","Apiaceae","I"
"3509",107158,"Maianthemum bifolium","Asparagaceae","P"
"3510",107176,"Malcolmia africana","Brassicaceae","I"
"3511",107183,"Malcolmia flexuosa","Brassicaceae","M"
"3512",107185,"Malcolmia littorea","Brassicaceae","P"
"3513",107190,"Malcolmia ramosissima","Brassicaceae","P"
"3514",610627,"Malephora crocea","Aizoaceae","I"
"3515",107197,"Malope malacoides","Malvaceae","I"
"3516",107208,"Malus floribunda","Rosaceae","M"
"3517",107207,"Malus domestica","Rosaceae","M"
"3518",107217,"Malus sylvestris","Rosaceae","P"
"3519",107224,"Malva alcea","Malvaceae","P"
"3520",107233,"Malva arborea","Malvaceae","P"
"3521",107243,"Malva cretica","Malvaceae","P"
"3522",966256,"Malva longiflora","Malvaceae","M"
"3523",107282,"Malva moschata","Malvaceae","P"
"3524",717790,"Malva multiflora","Malvaceae","P"
"3525",107284,"Malva neglecta","Malvaceae","P"
"3526",107286,"Malva nicaeensis","Malvaceae","P"
"3527",107290,"Malva olbia","Malvaceae","P"
"3528",107295,"Malva parviflora","Malvaceae","P"
"3529",107302,"Malva punctata","Malvaceae","P"
"3530",107313,"Malva setigera","Malvaceae","P"
"3531",717791,"Malva subovata","Malvaceae","P"
"3532",107318,"Malva sylvestris","Malvaceae","P"
"3533",107321,"Malva thuringiaca","Malvaceae","M"
"3534",107323,"Malva tournefortiana","Malvaceae","P"
"3535",717304,"Malva trimestris","Malvaceae","P"
"3536",610628,"Malvella leprosa","Malvaceae","I"
"3537",107347,"Mantisalca salmantica","Asteraceae","P"
"3538",107351,"Maresia nana","Brassicaceae","P"
"3539",107397,"Marrubium vulgare","Lamiaceae","P"
"3540",611021,"Marsilea drummondii","Marsileaceae","I"
"3541",107407,"Marsilea quadrifolia","Marsileaceae","P"
"3542",107409,"Marsilea strigosa","Marsileaceae","P"
"3543",107440,"Matricaria chamomilla","Asteraceae","P"
"3544",107446,"Matricaria discoidea","Asteraceae","I"
"3545",107486,"Matteuccia struthiopteris","Onocleaceae","I"
"3546",107491,"Matthiola fruticulosa","Brassicaceae","P"
"3547",107495,"Matthiola incana","Brassicaceae","P"
"3548",107496,"Matthiola longipetala","Brassicaceae","M"
"3549",107500,"Matthiola sinuata","Brassicaceae","P"
"3550",107506,"Matthiola tricuspidata","Brassicaceae","P"
"3551",107509,"Matthiola valesiaca","Brassicaceae","P"
"3552",107574,"Medicago arabica","Fabaceae","P"
"3553",107575,"Medicago arborea","Fabaceae","I"
"3554",107588,"Medicago ciliaris","Fabaceae","P"
"3555",107595,"Medicago coronata","Fabaceae","P"
"3556",107605,"Medicago disciformis","Fabaceae","P"
"3557",107606,"Medicago doliata","Fabaceae","P"
"3558",107629,"Medicago hybrida","Fabaceae","P"
"3559",107632,"Medicago intertexta","Fabaceae","I"
"3560",107635,"Medicago italica","Fabaceae","P"
"3561",107639,"Medicago laciniata","Fabaceae","M"
"3562",107647,"Medicago littoralis","Fabaceae","P"
"3563",107649,"Medicago lupulina","Fabaceae","P"
"3564",107654,"Medicago marina","Fabaceae","P"
"3565",107658,"Medicago minima","Fabaceae","P"
"3566",107662,"Medicago monspeliaca","Fabaceae","P"
"3567",107665,"Medicago murex","Fabaceae","P"
"3568",107669,"Medicago muricoleptis","Fabaceae","M"
"3569",107677,"Medicago orbicularis","Fabaceae","P"
"3570",107688,"Medicago polyceratia","Fabaceae","P"
"3571",107689,"Medicago polymorpha","Fabaceae","P"
"3572",107692,"Medicago praecox","Fabaceae","P"
"3573",107706,"Medicago rigidula","Fabaceae","P"
"3574",107710,"Medicago rugosa","Fabaceae","I"
"3575",107711,"Medicago sativa","Fabaceae","P"
"3576",107712,"Medicago scutellata","Fabaceae","P"
"3577",107713,"Medicago secundiflora","Fabaceae","P"
"3578",107717,"Medicago soleirolii","Fabaceae","I"
"3579",107725,"Medicago suffruticosa","Fabaceae","P"
"3580",107728,"Medicago tenoreana","Fabaceae","P"
"3581",107739,"Medicago truncatula","Fabaceae","P"
"3582",107742,"Medicago turbinata","Fabaceae","P"
"3583",107786,"Melampyrum arvense","Orobanchaceae","P"
"3584",107790,"Melampyrum cristatum","Orobanchaceae","P"
"3585",107795,"Melampyrum pratense","Orobanchaceae","P"
"3586",717307,"Melampyrum subalpinum","Orobanchaceae","Q"
"3587",107800,"Melampyrum sylvaticum","Orobanchaceae","P"
"3588",107838,"Melia azedarach","Meliaceae","M"
"3589",107841,"Melica altissima","Poaceae","M"
"3590",107842,"Melica amethystina","Poaceae","P"
"3591",107851,"Melica ciliata","Poaceae","P"
"3592",107867,"Melica minuta","Poaceae","P"
"3593",107871,"Melica nutans","Poaceae","P"
"3594",107880,"Melica uniflora","Poaceae","P"
