CD_REF,Regroupement,REGNE,NOM_VALIDE,GBIF,AccSpeciesID,KEW_binomial_acc_name,PFAF_name,Comment
96749,Angiospermes,Plantae,"Erigeron canadensis L., 1753",3146791,21638,Erigeron canadensis,not_found,
96895,Angiospermes,Plantae,"Erodium cicutarium (L.) L'Hér., 1789",9485490,21900,Erodium cicutarium,Erodium cicutarium,
97141,Angiospermes,Plantae,"Eryngium campestre L., 1753",3034426,21961,Eryngium campestre,Eryngium campestre,
609982,Angiospermes,Plantae,"Euonymus europaeus L., 1753",3169131,23260,Euonymus europaeus,Euonymus europaeus,
97434,Angiospermes,Plantae,"Eupatorium cannabinum L., 1753",5402943,23289,Eupatorium cannabinum,Eupatorium cannabinum,
97452,Angiospermes,Plantae,"Euphorbia amygdaloides L., 1753",3065239,23331,Euphorbia amygdaloides,not_found,
97490,Angiospermes,Plantae,"Euphorbia cyparissias L., 1753",3070106,23387,Euphorbia cyparissias,not_found,
97537,Angiospermes,Plantae,"Euphorbia helioscopia L., 1753",3066367,23444,Euphorbia helioscopia,Euphorbia helioscopia,
97556,Angiospermes,Plantae,"Euphorbia lathyris L., 1753",3066965,23476,Euphorbia lathyris,Euphorbia lathyris,
97601,Angiospermes,Plantae,"Euphorbia palustris L., 1753",3064056,23527,Euphorbia palustris,not_found,
97776,Angiospermes,Plantae,"Euphrasia nemorosa (Pers.) Wallr., 1815",3171964,23657,not_found,not_found,
97781,Angiospermes,Plantae,"Euphrasia officinalis L., 1753",8106874,23658,Euphrasia officinalis,Euphrasia officinalis,
97947,Angiospermes,Plantae,"Fagus sylvatica L., 1753",2882316,23906,Fagus sylvatica,Fagus sylvatica,
98020,Angiospermes,Plantae,"Ferula communis L., 1753",8048981,24101,Ferula communis,Ferula communis,
98651,Angiospermes,Plantae,"Ficaria verna Huds., 1762",9094061,83492,Ranunculus ficaria,not_found,
98653,Angiospermes,Plantae,"Ficus carica L., 1753",5361909,24783,Ficus carica,Ficus carica,
98717,Angiospermes,Plantae,"Filipendula ulmaria (L.) Maxim., 1879",2987999,24995,Filipendula ulmaria,Filipendula ulmaria,
98718,Angiospermes,Plantae,"Filipendula vulgaris Moench, 1794",2988069,24996,Filipendula vulgaris,Filipendula vulgaris,
98756,Angiospermes,Plantae,"Foeniculum vulgare Mill., 1768",3034922,25139,Foeniculum vulgare,Foeniculum vulgare,
98865,Angiospermes,Plantae,"Fragaria vesca L., 1753",3029817,25213,Fragaria vesca,Fragaria vesca,
98887,Angiospermes,Plantae,"Frangula alnus Mill., 1768",3039454,25217,Frangula alnus,not_found,
